"Eileen Mohr";"58"
"Deborah Wehner IV";"106"
"Clarence Beier";"13"
"Van Fisher";"57"
"Nettie Kemmer";"35"
"Lyle Roob I";"90"
"Diane Marks";"62"
"Dianne Buckridge";"104"
"Myron Welch";"3"
"Robert Cormier";"85"
"Marlon Cole";"24"
"Naomi Fisher";"114"
"April Labadie";"40"
"Debbie Harvey";"44"
"Anthony Schaefer I";"4"
"Mr. Christopher Homenick";"46"
"Lonnie Pollich";"85"
"Leon Medhurst DDS";"23"
"Frankie Wyman";"16"
"Derrick Bradtke";"7"
"Iris Cummerata III";"18"
"Fred VonRueden V";"94"
"Mae Corwin";"21"
"Mr. Troy Gislason";"34"
"Belinda Gusikowski";"66"
"Adam Goyette";"117"
"Michael Paucek";"102"
"Chris Zboncak-Torphy MD";"112"
"Johnnie McGlynn";"109"
"Freda Huel";"113"
"Carolyn Schmitt";"19"
"Kelley Huel";"36"
"Don West";"98"
"Peter Botsford";"90"
"Blanche Hammes";"64"
"Dana Abshire";"47"
"Sherman Gusikowski I";"29"
"Terry Weber";"27"
"James Kuhn";"65"
"Mr. Dan Jerde";"117"
"Elbert Gislason";"97"
"Gwendolyn Olson";"99"
"Ethel Beer";"120"
"Carl Renner";"76"
"Heidi Legros";"76"
"Trevor Torp";"90"
"Nick Abshire";"21"
"Eunice Homenick";"88"
"Jenny Hand";"82"
"Wilfred Durgan";"32"
"Sophia Veum";"20"
"Dianna Lehner";"95"
"Austin Roob";"72"
"Santos Heathcote";"97"
"Rita White";"98"
"Paulette Kuhlman";"34"
"Leon Bogan";"22"
"Sandy Conn Sr.";"57"
"Sara Lynch";"111"
"Daniel Moen";"84"
"Billy O'Keefe";"39"
"Tyrone Hilpert";"2"
"Karen Brown";"82"
"Hugo Wyman-Ernser";"75"
"Frances Friesen";"74"
"Mrs. Marsha Kerluke";"96"
"Barbara Spencer";"54"
"Grant Schultz";"86"
"Kerry Rutherford-Rolfson";"50"
"Lauren Pagac";"50"
"Joanne Durgan";"14"
"Peggy Weissnat-Gutkowski";"33"
"Mr. Simon Lesch";"11"
"Derrick Huel";"16"
"May Reichel";"73"
"Matthew Mann";"43"
"Dana Grimes";"83"
"Percy Walsh";"98"
"Violet Runolfsdottir Sr.";"51"
"Donna Kulas";"87"
"Brooke Batz";"31"
"Maureen Hauck";"98"
"Karl Carter";"105"
"Dr. Irvin Vandervort";"112"
"Shawn Brakus";"102"
"Jordan Jenkins";"118"
"Johnnie Mraz";"111"
"Dr. Damon Bins";"26"
"Robyn Heathcote";"17"
"Dr. Julian VonRueden";"69"
"Rickey Cronin-Watsica";"70"
"Mack Hayes";"17"
"Jesus Rath";"77"
"Leona Bradtke";"78"
"Eduardo Heaney";"118"
"Michael Kerluke";"69"
"Delia Johns";"75"
"Carol Walter";"78"
"Annette Moen";"118"
"Holly Schinner Jr.";"94"
"Dallas Buckridge";"104"
"Tricia Friesen";"92"
"Ethel Bruen";"74"
"Constance Medhurst";"6"
"Dr. Daniel Abbott";"68"
"Ms. Tonya Hagenes";"102"
"George Turcotte";"114"
"Theodore Hintz";"27"
"Scott Friesen DVM";"79"
"Preston Schuster";"60"
"Douglas Emard DDS";"20"
"Bryan Haag";"108"
"Camille Schoen";"117"
"Ms. Annie Gleichner";"48"
"Dr. Blake Padberg";"97"
"Pat Volkman";"68"
"Rose Watsica";"97"
"Tiffany Walsh";"10"
"Woodrow Bartell";"4"
"Mr. William Carroll";"103"
"Julius Balistreri";"24"
"Marta Beer";"99"
"Ramon Konopelski";"50"
"Lillian Cassin DVM";"23"
"Jackie Marvin";"99"
"Alyssa MacGyver";"100"
"George Ruecker";"53"
"Tom Glover";"58"
"Gilberto Ebert";"1"
"Sheldon Homenick-Schinner";"82"
"Delia Conroy-Boyle";"106"
"Alvin Maggio";"37"
"Salvatore Mayer";"93"
"Clifton Koepp";"67"
"Hubert Huel MD";"91"
"Dr. Stella Weissnat";"30"
"Lowell Bergnaum";"72"
"Becky Herzog";"102"
"Toby Lindgren";"114"
"Terence Klein";"107"
"Marion Ruecker";"81"
"Jean Macejkovic";"37"
"Meghan Herman";"83"
"Mr. Matt Rutherford";"74"
"Horace Schaefer";"79"
"Tasha Prohaska";"47"
"Darrin Toy";"15"
"Dr. Chad Kemmer";"30"
"Allen Flatley";"94"
"Guy Pagac I";"65"
"Lauren Weimann";"9"
"Scott Medhurst IV";"11"
"Rachel Jacobi";"68"
"Stewart Cole";"60"
"Ms. Vicki Hegmann-Lang";"75"
"Arnold Dooley I";"64"
"Percy Jenkins-Mante";"100"
"Eula Stroman";"68"
"Clara O'Conner";"80"
"Alice Glover";"4"
"Gail Altenwerth";"61"
"Ruth Marquardt";"81"
"Reginald Kozey";"22"
"Dr. Ben Daniel";"54"
"Irene Hammes";"46"
"Loretta Hermann";"57"
"Alexander Bergnaum";"78"
"Claudia Turner";"64"
"Dr. Sandy Bartoletti-Price";"113"
"Jan Tromp";"79"
"Miss Susie Deckow PhD";"58"
"Winifred Rau";"19"
"Randal Labadie";"104"
"Dr. Lamar Fritsch";"38"
"Donald Walter";"70"
"Jessie Hermiston";"11"
"Rudolph Kovacek";"18"
"Justin Dickens";"89"
"Thomas Legros";"15"
"Ebony Bernier";"99"
"Nettie Schinner";"118"
